date,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres
2023-01-01,11.3,7.2,14.4,0.0,0.0,241.0,13.0,1012.6
2023-01-02,9.9,6.1,15.0,1.3,0.0,231.0,7.9,1019.5
2023-01-03,11.2,9.4,13.3,11.4,0.0,4.0,5.4,1014.1
2023-01-04,13.7,10.0,18.9,0.5,0.0,164.0,9.0,1010.0
2023-01-05,11.4,8.3,12.8,0.0,0.0,57.0,6.8,1013.5
2023-01-06,8.3,3.9,10.0,7.9,0.0,270.0,10.1,1016.0
2023-01-07,5.2,2.8,8.9,0.0,0.0,280.0,16.2,1021.2
2023-01-08,3.6,0.6,5.6,0.0,0.0,255.0,9.4,1024.6
2023-01-09,4.8,2.8,8.9,0.3,0.0,282.0,11.5,1014.4
2023-01-10,3.9,0.6,6.1,0.0,0.0,275.0,12.2,1017.1
2023-01-11,4.1,2.2,5.0,0.0,0.0,39.0,9.7,1023.4
2023-01-12,6.6,3.9,13.9,5.3,0.0,83.0,10.4,1016.8
2023-01-13,12.2,3.3,15.0,2.8,0.0,253.0,22.3,1002.3
2023-01-14,2.8,0.6,3.3,0.0,0.0,340.0,28.8,1010.0
2023-01-15,2.4,0.0,7.8,0.0,0.0,351.0,31.0,1015.7
2023-01-16,2.8,-1.6,10.6,0.0,0.0,314.0,17.3,1012.2
2023-01-17,4.8,-0.5,8.9,0.0,0.0,234.0,10.1,1006.1
2023-01-18,8.7,4.4,13.9,0.5,0.0,268.0,19.4,1009.2
2023-01-19,6.2,3.3,6.7,24.1,0.0,16.0,9.0,1012.0
2023-01-20,7.1,3.3,10.6,0.0,0.0,268.0,19.1,1005.8
2023-01-21,5.2,3.3,5.6,0.0,0.0,308.0,16.2,1019.9
2023-01-22,4.1,2.8,6.1,12.7,0.0,165.0,11.5,1018.3
2023-01-23,4.1,2.8,5.0,7.4,0.0,325.0,23.8,1004.6
2023-01-24,4.5,2.2,10.0,0.0,0.0,273.0,20.9,1020.4
2023-01-25,4.1,1.1,14.4,24.1,0.0,73.0,13.7,1018.6
2023-01-26,9.4,4.4,14.4,9.7,0.0,247.0,29.5,1003.5
2023-01-27,4.2,-0.5,7.2,0.0,0.0,237.0,13.7,1018.9
2023-01-28,5.3,-0.5,12.8,0.0,0.0,228.0,14.4,1023.9
2023-01-29,8.3,3.3,12.2,0.0,0.0,216.0,12.2,1022.7
2023-01-30,8.4,3.9,13.9,0.0,0.0,220.0,9.4,1020.2
2023-01-31,5.6,0.0,9.4,1.5,0.0,348.0,16.9,1021.9
2023-02-01,0.8,-2.7,4.4,0.5,0.0,330.0,15.1,1024.5
2023-02-02,0.8,-3.8,5.6,0.0,0.0,243.0,13.7,1019.4
2023-02-03,-1.6,-10.5,1.7,0.0,0.0,293.0,33.8,1017.0
2023-02-04,-9.8,-14.9,-3.2,0.0,0.0,269.0,18.4,1034.0
2023-02-05,0.9,-3.8,10.6,0.0,0.0,217.0,10.8,1021.6
2023-02-06,6.7,0.0,13.3,0.0,0.0,359.0,18.0,1017.1
2023-02-07,2.3,-2.7,6.1,0.3,0.0,90.0,11.9,1025.0
2023-02-08,7.2,1.7,13.9,0.0,0.0,258.0,11.9,1022.3
2023-02-09,7.1,0.6,11.1,0.0,0.0,53.0,6.1,1020.1
2023-02-10,11.9,6.1,16.1,0.0,0.0,284.0,23.0,1012.3
2023-02-11,6.9,2.2,8.9,0.0,0.0,312.0,18.7,1023.9
2023-02-12,4.7,-0.5,8.9,3.0,0.0,22.0,7.6,1017.3
2023-02-13,8.7,3.9,16.1,0.0,0.0,316.0,21.6,1003.0
2023-02-14,9.7,5.6,13.9,0.0,0.0,279.0,17.3,1016.7
2023-02-15,12.2,6.1,21.1,0.0,0.0,197.0,18.4,1016.4
2023-02-16,14.8,10.0,20.0,1.5,0.0,218.0,7.6,1014.2
2023-02-17,12.8,0.6,16.7,3.8,0.0,245.0,23.8,1006.2
2023-02-18,1.9,-2.1,6.7,0.0,0.0,273.0,21.6,1025.6
2023-02-19,4.9,0.0,11.1,0.0,0.0,193.0,10.4,1023.4
2023-02-20,9.6,4.4,17.8,0.0,0.0,251.0,14.8,1006.5
2023-02-21,7.6,3.3,9.4,5.3,0.0,350.0,13.0,1004.9
2023-02-22,5.2,1.1,7.2,4.8,0.0,352.0,10.4,1018.2
2023-02-23,5.1,4.4,7.2,0.3,0.0,55.0,12.6,1012.9
2023-02-24,6.7,-3.2,8.9,0.0,0.0,327.0,26.3,1023.5
2023-02-25,-2.0,-4.9,1.1,0.0,0.0,342.0,9.7,1028.7
2023-02-26,1.7,-4.9,11.7,0.0,0.0,254.0,16.2,1012.8
2023-02-27,5.1,1.1,7.2,9.7,0.0,63.0,13.7,1012.9
2023-02-28,1.8,0.6,3.9,6.6,50.0,350.0,14.8,1008.4
2023-03-01,3.8,-1.0,7.8,0.3,30.0,58.0,11.2,1018.4
2023-03-02,7.5,4.4,13.9,0.0,0.0,335.0,18.0,1007.0
2023-03-03,5.7,2.2,8.3,6.4,0.0,52.0,14.0,1014.6
2023-03-04,6.9,4.4,10.0,31.5,0.0,338.0,23.0,1002.8
2023-03-05,7.6,3.9,13.9,0.0,0.0,303.0,22.0,1019.7
2023-03-06,8.6,4.4,12.2,0.0,0.0,303.0,18.0,1018.1
2023-03-07,5.9,1.1,10.0,3.3,0.0,315.0,30.2,1011.3
2023-03-08,3.9,0.0,10.0,0.0,0.0,327.0,27.7,1020.6
2023-03-09,5.8,1.1,11.7,0.0,0.0,338.0,20.9,1021.5
2023-03-10,4.6,1.1,7.8,8.1,0.0,49.0,11.2,1014.2
2023-03-11,5.3,1.7,8.3,8.4,0.0,351.0,23.4,1008.4
2023-03-12,4.7,0.6,8.9,0.0,0.0,,11.9,
2023-03-13,5.9,3.9,7.2,13.5,0.0,60.0,14.8,1011.7
2023-03-14,3.3,0.6,3.9,2.3,0.0,287.0,32.8,1001.6
2023-03-15,3.8,1.7,8.9,0.0,0.0,305.0,34.9,1009.7
2023-03-16,6.7,-0.5,16.7,0.0,0.0,262.0,13.7,1016.1
2023-03-17,11.0,7.2,16.1,0.0,0.0,186.0,10.8,1006.4
2023-03-18,11.1,5.0,13.3,0.3,0.0,289.0,23.0,1006.0
2023-03-19,3.4,-1.0,5.6,0.0,0.0,268.0,26.6,1016.4
2023-03-20,4.1,-2.7,12.2,0.0,0.0,226.0,14.0,1024.7
2023-03-21,9.2,0.0,18.3,0.0,0.0,230.0,16.9,1027.1
2023-03-22,11.0,4.4,18.3,0.0,0.0,172.0,9.4,1025.9
2023-03-23,12.1,7.8,16.7,1.0,0.0,251.0,13.7,1013.0
2023-03-24,11.4,6.1,13.9,0.0,0.0,332.0,11.5,1014.2
